date	close
11-Apr-2011	330.80
8-Apr-2011	335.06
7-Apr-2011	338.08
6-Apr-2011	338.04
5-Apr-2011	338.89
4-Apr-2011	341.19
1-Apr-2011	344.56
31-Mar-2011	348.51
30-Mar-2011	348.63
29-Mar-2011	350.96
28-Mar-2011	350.44
25-Mar-2011	351.54
24-Mar-2011	344.97
23-Mar-2011	339.19
22-Mar-2011	341.20
21-Mar-2011	339.30
18-Mar-2011	330.67
17-Mar-2011	334.64
16-Mar-2011	330.01
15-Mar-2011	345.43
14-Mar-2011	353.56
11-Mar-2011	351.99
10-Mar-2011	346.67
9-Mar-2011	352.47
8-Mar-2011	355.76
7-Mar-2011	355.36
4-Mar-2011	360.00
3-Mar-2011	359.56
2-Mar-2011	352.12
1-Mar-2011	349.31
28-Feb-2011	353.21
25-Feb-2011	348.16
24-Feb-2011	342.88
23-Feb-2011	342.62
22-Feb-2011	338.61
18-Feb-2011	350.56
17-Feb-2011	358.30
16-Feb-2011	363.13
15-Feb-2011	359.90
14-Feb-2011	359.18
11-Feb-2011	356.85
10-Feb-2011	354.54
9-Feb-2011	358.16
8-Feb-2011	355.20
7-Feb-2011	351.88
4-Feb-2011	346.50
3-Feb-2011	343.44
2-Feb-2011	344.32
1-Feb-2011	345.03
31-Jan-2011	339.32
28-Jan-2011	336.10
27-Jan-2011	343.21
26-Jan-2011	343.85
25-Jan-2011	341.40
24-Jan-2011	337.45
21-Jan-2011	326.72
20-Jan-2011	332.68
19-Jan-2011	338.84
18-Jan-2011	340.65
14-Jan-2011	348.48
13-Jan-2011	345.68
12-Jan-2011	344.42
11-Jan-2011	341.64
10-Jan-2011	342.46
7-Jan-2011	336.12
6-Jan-2011	333.73
5-Jan-2011	334.00
4-Jan-2011	331.29
3-Jan-2011	329.57
31-Dec-2010	322.56
30-Dec-2010	323.66
29-Dec-2010	325.29
28-Dec-2010	325.47
27-Dec-2010	324.68
23-Dec-2010	323.60
22-Dec-2010	325.16
21-Dec-2010	324.20
20-Dec-2010	322.21
17-Dec-2010	320.61
16-Dec-2010	321.25
15-Dec-2010	320.36
14-Dec-2010	320.29
13-Dec-2010	321.67
10-Dec-2010	320.56
9-Dec-2010	319.76
8-Dec-2010	321.01
7-Dec-2010	318.21
6-Dec-2010	320.15
3-Dec-2010	317.44
2-Dec-2010	318.15
1-Dec-2010	316.40
30-Nov-2010	311.15
29-Nov-2010	316.87
26-Nov-2010	315.00
24-Nov-2010	314.80
23-Nov-2010	308.73
22-Nov-2010	313.36
19-Nov-2010	306.73
18-Nov-2010	308.43
17-Nov-2010	300.50
16-Nov-2010	301.59
15-Nov-2010	307.04
12-Nov-2010	308.03
11-Nov-2010	316.66
10-Nov-2010	318.03
9-Nov-2010	316.08
8-Nov-2010	318.62
5-Nov-2010	317.13
4-Nov-2010	318.27
3-Nov-2010	312.80
2-Nov-2010	309.36
1-Nov-2010	304.18
29-Oct-2010	300.98
28-Oct-2010	305.24
27-Oct-2010	307.83
26-Oct-2010	308.05
25-Oct-2010	308.84
22-Oct-2010	307.47
21-Oct-2010	309.52
20-Oct-2010	310.53
19-Oct-2010	309.49
18-Oct-2010	318.00
15-Oct-2010	314.74
14-Oct-2010	302.31
13-Oct-2010	300.14
12-Oct-2010	298.54
11-Oct-2010	295.36
8-Oct-2010	294.07
7-Oct-2010	289.22
6-Oct-2010	289.19
5-Oct-2010	288.94
4-Oct-2010	278.64
1-Oct-2010	282.52
30-Sep-2010	283.75
29-Sep-2010	287.37
28-Sep-2010	286.86
27-Sep-2010	291.16
24-Sep-2010	292.32
23-Sep-2010	288.92
22-Sep-2010	287.75
21-Sep-2010	283.77
20-Sep-2010	283.23
17-Sep-2010	275.37
16-Sep-2010	276.57
15-Sep-2010	270.22
14-Sep-2010	268.06
13-Sep-2010	267.04
10-Sep-2010	263.41
9-Sep-2010	263.07
8-Sep-2010	262.92
7-Sep-2010	257.81
6-Sep-2010	258.77
3-Sep-2010	258.77
2-Sep-2010	252.17
1-Sep-2010	250.33
31-Aug-2010	243.10
30-Aug-2010	242.50
27-Aug-2010	241.62
26-Aug-2010	240.28
25-Aug-2010	242.89
24-Aug-2010	239.93
23-Aug-2010	245.80
20-Aug-2010	249.64
19-Aug-2010	249.88
18-Aug-2010	253.07
17-Aug-2010	251.97
16-Aug-2010	247.64
13-Aug-2010	249.10
12-Aug-2010	251.79
11-Aug-2010	250.19
10-Aug-2010	259.41
9-Aug-2010	261.75
6-Aug-2010	260.09
5-Aug-2010	261.70
4-Aug-2010	262.98
3-Aug-2010	261.93
2-Aug-2010	261.85
30-Jul-2010	257.25
29-Jul-2010	258.11
28-Jul-2010	260.96
27-Jul-2010	264.08
26-Jul-2010	259.28
23-Jul-2010	259.94
22-Jul-2010	259.02
21-Jul-2010	254.24
20-Jul-2010	251.89
19-Jul-2010	245.58
16-Jul-2010	249.90
15-Jul-2010	251.45
14-Jul-2010	252.73
13-Jul-2010	251.80
12-Jul-2010	257.28
9-Jul-2010	259.62
8-Jul-2010	258.09
7-Jul-2010	258.66
6-Jul-2010	248.63
5-Jul-2010	246.94
2-Jul-2010	246.94
1-Jul-2010	248.48
30-Jun-2010	251.53
29-Jun-2010	256.17
28-Jun-2010	268.30
25-Jun-2010	266.70
24-Jun-2010	269.00
23-Jun-2010	270.97
22-Jun-2010	273.85
21-Jun-2010	270.17
